Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
IAPMEI,FCR,FACCE - Fundo Autonomo de Apoio a Concentracao e Consolidacao de Empresas,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCR Caravela - Fundo Caravela - Fundo de Capital de Risco,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCR Central FRIE - Fundo de Capital de Risco CENTRAL FRIE,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCR PV Global 2 - Fundo de Capital de Risco Portugal Ventures Global 2,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCR PV Valor 2 - Fundo de Capital de Risco Portugal Ventures Valor 2,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FCGM - Fundo de Contragarantia Mutuo,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FSCR - Fundo de Sindicacao de Capital de Risco PME-IAPMEI,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,FIEAE - Fundo Imobiliario Especial de Apoio as Empresas,,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,FCR,"FRME - Fundo para a Revitalizacao e Modernizacao do Tecido Empresarial, SGPS, S.A",,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
IAPMEI,Sociedade,"GARVAL - GARVAL-Sociedade de Garantia Mutua, S.A",,,,,,,,,,2015,IAPMEI,IAPMEI - Entidades Participadas 2015
